Nome,Posicao,nationality,matches,goals
Guido Carrillo,Centroavante,Argentina,20,10
Jonatan Álvez,Centroavante,Uruguai,35,10
Braian Romero,Centroavante,Argentina,31,10
Ricardinho,Meia Ofensivo,Brasil,36,10
Gilberto,Lateral Esq.,Brasil,46,10
Martín Arzuaga,Centroavante,Colômbia,20,10
Sergio Martínez,Centroavante,Uruguai,22,10
Fernando Fernández,Centroavante,Paraguai,36,10
Bryan Angulo,Centroavante,Equador,24,10
Carlos Felipe Núñez,Meia Ofensivo,Perú,30,10
Francisco da Costa,Centroavante,Brasil,22,10
Júnior Santos,Ponta Direita,Brasil,13,10
Roque Santa Cruz,Centroavante,Paraguai,50,10
Esteban Fuertes,Centroavante,Argentina,29,10
Wason Rentería,Centroavante,Colômbia,23,10
Rodrigo Mendes,Ponta Esquerda,Brasil,11,10
Ángel Fernández,Ponta Direita,Equador,61,10
Nicolás Blandi,Centroavante,Argentina,39,10
Alex Escobar,Meio-Campo,Colômbia,87,10
Hugo Castillo,Centroavante,Argentina,32,10
Félix Borja,Centroavante,Equador,13,10
Blas Pérez,Centroavante,Panamá,21,10
Matías Alustiza,Centroavante,Argentina,10,10
David Montoya,Meia Ofensivo,Colômbia,28,10
Lopes,Meia Ofensivo,Brasil,16,10
Rubén Darío Hernández,Centroavante,Colômbia,32,10
Alfredo Mendoza,Ponta Esquerda,Paraguai,52,10
Javier Correa,Centroavante,Argentina,25,10
Sergio Ahumada,Atacante,Chile,43,10
John Jairo Tréllez,Seg. Atacante,Colômbia,27,10
Raúl Avilés,Centroavante,Equador,39,10
Roberto Chale,Meia Central,Perú,39,10
Alfredo Rojas,Centroavante,Argentina,25,10
Norberto Menéndez,Atacante,Argentina,25,10
Luis Romero,Centroavante,Uruguai,39,10
Coutinho,Centroavante,Brasil,13,10
Washington Olivera,Atacante,Uruguai,44,10
Raúl Castronovo,Atacante,Argentina,6,10
Eduardo Hurtado,Centroavante,Equador,31,10
José Villafuerte,Meio-Campo,Equador,43,10
Pedro González,Atacante,Argentina,54,10
Juan Graciano Gonzalez,Atacante,Paraguai,24,10
Vinicio Ron,Meio-Campo,Equador,29,10
Eduardo Rey Muñoz,Centroavante,Perú,39,10
Geovanny Mera,Atacante,Equador,19,10
Jesús Reynaldo,Atacante,Bolívia,17,10
